variety_name,week_number,cost,production,farm_name,cut
ZURIGO,8,0,0,LA GAITANA,
ALI_BABA,9,0,0,LA GAITANA,
AMOROSA,9,0,0,LA GAITANA,
ANTIGUA,9,0,0,LA GAITANA,
ARMONIA,9,0,0,LA GAITANA,
BIZET,9,0,0,LA GAITANA,
CAROLINE_GOLD,9,0,0,LA GAITANA,
CHELO,9,0,0,LA GAITANA,
DILETTA,9,0,0,LA GAITANA,
DONCEL,9,0,0,LA GAITANA,
FARIDA,9,0,0,LA GAITANA,
EXTASIS,9,0,0,LA GAITANA,
FUENTE,9,0,0,LA GAITANA,
GRANSOLE,9,0,0,LA GAITANA,
IKEBANA,9,0,0,LA GAITANA,
ILUSION,9,0,0,LA GAITANA,
JOBIM,9,0,0,LA GAITANA,
NAUTILUS,9,0,0,LA GAITANA,
NEON,9,0,0,LA GAITANA,
LEGE_MARRONE,9,0,0,LA GAITANA,
MOONLIGHT,9,0,0,LA GAITANA,
NEW_YORK,9,0,0,LA GAITANA,
NOVIA,9,0,0,LA GAITANA,
RANDAL,9,0,0,LA GAITANA,
RODAS,9,0,0,LA GAITANA,
HAWAI,9,0,0,LA GAITANA,
SORRISO,9,0,0,LA GAITANA,
TINGUA,9,0,0,LA GAITANA,
ZAFIRO,9,0,0,LA GAITANA,
ZENIT,9,0,0,LA GAITANA,
HERMES,9,0,0,LA GAITANA,
ZEPPELIN,9,0,0,LA GAITANA,
KINO,9,0,0,LA GAITANA,
VELVET,9,0,0,LA GAITANA,
TANGELO,9,0,0,LA GAITANA,
ORANGE_FLAME,9,0,0,LA GAITANA,
TRUENO,9,0,0,LA GAITANA,
AMBROSE,9,0,0,LA GAITANA,
ANDINO,9,0,0,LA GAITANA,
BOUZERON,9,0,0,LA GAITANA,
CAPRICHO,9,0,0,LA GAITANA,
CAROCHE,9,0,0,LA GAITANA,
CAROLINE,9,0,0,LA GAITANA,
DANDY,9,0,0,LA GAITANA,
DANIKO,9,0,0,LA GAITANA,
